time,close,open,high,low,VWAP,Volume,Volume MA
2020-07-02T20:00:00-04:00,9097.77,9086.54,9106.96,9064.67,9089.8,1376.079495,2146.430872
2020-07-02T21:00:00-04:00,9107.92,9097.78,9123.07,9086,9096.128866,913.425145,2109.447656
2020-07-02T22:00:00-04:00,9096.58,9107.4,9121.23,9094,9097.928107,685.583638,2015.081669
2020-07-02T23:00:00-04:00,9092.84,9096.59,9103.89,9087.32,9097.340312,658.169011,1988.788627
2020-07-03T00:00:00-04:00,9095.21,9093.77,9099.25,9076.03,9096.117151,746.421389,1926.216652
2020-07-03T01:00:00-04:00,9109.56,9095.68,9114.66,9084.4,9097.453616,1079.998578,1912.253083
2020-07-03T02:00:00-04:00,9095.7,9109.53,9118.36,9090.89,9098.07897,956.091624,1891.894231
2020-07-03T03:00:00-04:00,9105.05,9094.25,9109,9087.13,9098.438526,1180.076528,1874.608293
2020-07-03T04:00:00-04:00,9101,9105.25,9125,9093.42,9099.973568,1793.901977,1864.949215
2020-07-03T05:00:00-04:00,9077.75,9101,9110.11,9038.7,9094.589241,2651.257145,1895.385864
2020-07-03T06:00:00-04:00,9076.53,9077.74,9085.49,9053.12,9091.821281,1657.505272,1895.058116
2020-07-03T07:00:00-04:00,9097,9077.26,9100,9066.72,9091.460619,1390.15119,1606.150998
2020-07-03T08:00:00-04:00,9107.98,9097,9113.6,9090.33,9092.427509,1263.945063,1374.597107
2020-07-03T09:00:00-04:00,9088.24,9107.98,9122,9087.67,9092.948965,1341.939077,1334.592094
2020-07-03T10:00:00-04:00,9086.63,9088.24,9100,9075,9092.552632,1312.635757,1309.124157
2020-07-03T11:00:00-04:00,9100.39,9086.63,9105.69,9086.63,9092.903392,1428.651703,1305.667649
2020-07-03T12:00:00-04:00,9089.27,9100.38,9114,9080,9093.014784,1616.125214,1321.792195
2020-07-03T13:00:00-04:00,9088.23,9089.26,9104,9083.26,9092.959418,1081.033711,1294.268464
2020-07-03T14:00:00-04:00,9079.26,9088.22,9092.69,9069.74,9092.439925,1011.858897,1261.021001
2020-07-03T15:00:00-04:00,9085.72,9079.25,9089.55,9067.67,9092.00728,947.300414,1254.607541
2020-07-03T16:00:00-04:00,9088.49,9085.7,9096.59,9068.99,9091.743875,936.988408,1232.652987
2020-07-03T17:00:00-04:00,9096.61,9088.5,9097.85,9082.07,9091.753816,611.942656,1217.578863
2020-07-03T18:00:00-04:00,9083.99,9096.65,9104,9080.76,9091.690431,801.413293,1223.370345
2020-07-03T19:00:00-04:00,9058.26,9084,9084,9037.47,9090.042386,1500.924992,1265.508144
2020-07-03T20:00:00-04:00,9072.41,9057.79,9080.78,9045.34,9066.176667,953.140127,1275.844081
2020-07-03T21:00:00-04:00,9072,9072.58,9079.01,9051.12,9066.671163,668.067622,1255.247533
2020-07-03T22:00:00-04:00,9087.83,9072.14,9096.19,9064.88,9073.592244,1196.928036,1267.289354
2020-07-03T23:00:00-04:00,9085.02,9087.91,9099,9077.14,9075.81501,557.383615,1236.154708
2020-07-04T00:00:00-04:00,9085.74,9084.96,9094.47,9077.42,9077.438087,649.247661,1178.921993
2020-07-04T01:00:00-04:00,9091.59,9085.73,9095,9071.5,9078.829516,777.75045,1085.246658
2020-07-04T02:00:00-04:00,9078.68,9091.64,9092.77,9070.33,9079.037965,643.625849,1034.552687
2020-07-04T03:00:00-04:00,9073.54,9078.69,9087.42,9067.19,9078.637548,842.776111,1007.183933
2020-07-04T04:00:00-04:00,9075.99,9073.6,9085,9070.62,9078.485976,743.17559,981.1454591
2020-07-04T05:00:00-04:00,9071.85,9076,9078,9066.77,9077.796022,868.045787,957.4507946
2020-07-04T06:00:00-04:00,9062.58,9071.85,9073.91,9055,9076.075947,1109.660169,947.3020152
2020-07-04T07:00:00-04:00,9057.69,9062.57,9077.5,9051.43,9073.984687,1599.745376,955.8566989
2020-07-04T08:00:00-04:00,9069.12,9058.42,9075.82,9040.04,9072.251079,1736.631456,961.882011
2020-07-04T09:00:00-04:00,9079.11,9069.34,9084.79,9066,9072.61056,1103.275639,962.9941074
2020-07-04T10:00:00-04:00,9069.08,9079.11,9085,9067,9072.67398,836.761436,954.2392343
2020-07-04T11:00:00-04:00,9066.01,9069.09,9071.96,9050,9072.000188,1030.224883,958.3854578
2020-07-04T12:00:00-04:00,9073.6,9066,9074.7,9061.55,9071.893588,840.062582,953.5391665
2020-07-04T13:00:00-04:00,9169.75,9073.6,9190,9067.5,9085.100108,3722.679345,1109.076001
2020-07-04T14:00:00-04:00,9139.82,9169.75,9190,9120.17,9091.925413,2336.465275,1185.8286
2020-07-04T15:00:00-04:00,9129.31,9139.35,9145.17,9106.17,9093.717138,1200.148003,1170.789751
2020-07-04T16:00:00-04:00,9130.07,9129.31,9146.86,9118.38,9095.115944,893.602493,1167.812869
2020-07-04T17:00:00-04:00,9117.13,9129.41,9140,9112.38,9096.043732,831.443317,1175.981654
2020-07-04T18:00:00-04:00,9129.58,9117.14,9130.99,9108.33,9096.735848,663.356989,1149.303101
2020-07-04T19:00:00-04:00,9135.46,9129.59,9140,9111.61,9097.514611,637.770673,1153.322454
2020-07-04T20:00:00-04:00,9134.24,9135,9145.24,9125.26,9134.913333,1491.56082,1195.438112
2020-07-04T21:00:00-04:00,9126.61,9134.06,9138.89,9120,9132.909136,677.997448,1190.450462
2020-07-04T22:00:00-04:00,9118.01,9126.59,9132.67,9113.88,9130.628643,543.18321,1185.42833
2020-07-04T23:00:00-04:00,9129.8,9118.01,9131.15,9112.38,9129.182702,827.63462,1184.671256
2020-07-05T00:00:00-04:00,9124.51,9128.98,9132.44,9115,9128.108736,921.66547,1193.59575
2020-07-05T01:00:00-04:00,9076.71,9124.02,9129.2,9065.54,9115.739913,2185.181315,1259.452526
2020-07-05T02:00:00-04:00,9059,9076.72,9085.31,9048.36,9101.619015,2510.042551,1329.471645
2020-07-05T03:00:00-04:00,9061.99,9059.01,9070.84,9040,9095.211007,1560.592082,1327.51398
2020-07-05T04:00:00-04:00,9068.57,9062.17,9074.85,9050,9092.261903,1137.448654,1297.55484
